Rk,Name,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
134,Devin Funchess\FuncDe00,CAR,WR,24,2,2,0,0,0,0,0,0,0,,0,14,10,118,11.80,0,,,12,22,24.8,16.8,,56,
135,Blaine Gabbert\GabbBl00,TEN,QB,29,2,1,24,42,234,1,1,2,2,1.00,0,0,0,0,,0,,,12,12,12.6,12.6,,31,
136,Rashard Higgins\HiggRa00,CLE,WR,24,3,0,0,0,0,0,0,0,0,,0,14,9,117,13.00,0,,,12,21,23.7,16.2,,58,
137,Nyheim Hines\HineNy00,IND,RB,22,2,0,0,0,0,0,0,9,26,2.89,1,10,8,31,3.88,0,,,12,20,19.7,15.7,,37,
138,D.J. Moore\MoorD.00,CAR,WR,21,2,0,0,0,0,0,0,2,10,5.00,0,2,1,51,51.00,1,,,12,13,13.1,12.6,,55,
139,Jamaal Williams\WillJa06,GNB,RB,23,2,2,0,0,0,0,0,31,106,3.42,0,6,3,12,4.00,0,,,12,15,17.8,13.3,,36,
140,Tyrell Williams\WillTy00,LAC,WR,26,2,2,0,0,0,0,0,0,0,,0,8,5,56,11.20,1,,,12,17,16.6,14.1,,59,
141,Robert Woods\WoodRo02,LAR,WR,26,2,2,0,0,0,0,0,1,6,6.00,0,18,9,118,13.11,0,,,12,21,24.4,16.9,,54,
142,Mark Andrews\AndrMa00,BAL,TE,22,2,1,0,0,0,0,0,0,0,,0,8,6,48,8.00,1,,,11,17,16.8,13.8,,15,
143,Frank Gore\GoreFr00,MIA,RB,35,2,2,0,0,0,0,0,18,86,4.78,0,1,1,19,19.00,0,,,11,12,11.5,11.0,,38,
144,George Kittle\KittGe00,SFO,TE,25,2,2,0,0,0,0,0,0,0,,0,13,7,112,16.00,0,,,11,18,21.2,14.7,,13,
145,Donte Moncrief\MoncDo00,JAX,WR,25,2,2,0,0,0,0,0,0,0,,0,14,5,48,9.60,1,,,11,16,15.8,13.3,,62,
146,Seth Roberts\RobeSe00,OAK,WR,27,2,0,0,0,0,0,0,0,0,,0,6,4,54,13.50,1,,,11,15,15.4,13.4,,60,
147,Austin Seferian-Jenkins\SefeAu00,JAX,TE,26,2,2,0,0,0,0,0,0,0,,0,10,6,48,8.00,1,,,11,17,16.8,13.8,,14,
148,Torrey Smith\SmitTo02,CAR,WR,29,2,2,0,0,0,0,0,0,0,,0,9,4,48,12.00,1,,,11,15,14.8,12.8,,61,
149,Robby Anderson\AndeRo04,NYJ,WR,25,3,2,0,0,0,0,0,1,-9,-9.00,0,10,6,90,15.00,1,,,10,16,18.1,13.1,,65,
150,Peyton Barber\BarbPe01,TAM,RB,24,2,2,0,0,0,0,0,35,91,2.60,0,2,1,7,7.00,0,,,10,11,10.8,10.3,,43,
151,Trey Burton\BurtTr01,CHI,TE,27,2,2,0,0,0,0,0,1,2,2.00,0,10,5,35,7.00,1,,,10,15,14.7,12.2,,17,
152,Kenneth Dixon\DixoKe00,BAL,RB,24,1,0,0,0,0,0,0,13,44,3.38,1,0,0,0,,0,,,10,10,10.4,10.4,,39,
153,Larry Fitzgerald\FitzLa00,ARI,WR,35,2,2,0,0,0,0,0,0,0,,0,15,10,104,10.40,0,,,10,20,23.4,15.4,,63,
154,Jimmy Graham\GrahJi00,GNB,TE,32,2,2,0,0,0,0,0,0,0,,0,12,8,103,12.88,0,,,10,18,21.3,14.3,,16,
155,Chris Ivory\IvorCh00,BUF,RB,30,2,0,0,0,0,0,0,5,10,2.00,1,2,1,30,30.00,0,,,10,11,11.0,10.5,,41,
156,Kerryon Johnson\JohnKe06,DET,RB,21,2,0,0,0,0,0,0,13,60,4.62,0,9,8,43,5.38,0,,,10,18,18.3,14.3,,40,
157,Baker Mayfield\MayfBa00,CLE,QB,23,1,0,17,23,201,0,0,2,-2,-1.00,0,0,0,0,,0,1,,10,10,9.8,9.8,,32,
158,Alfred Morris\MorrAl00,SFO,RB,30,2,1,0,0,0,0,0,26,86,3.31,0,2,2,32,16.00,0,,,10,12,12.8,10.8,,42,
159,Anthony Sherman\SherAn00,KAN,RB,30,2,0,0,0,0,0,0,0,0,,0,1,1,36,36.00,1,,,10,11,10.6,10.1,,44,
160,Laquon Treadwell\TreaLa00,MIN,WR,23,2,1,0,0,0,0,0,0,0,,0,10,4,41,10.25,1,,,10,14,14.1,12.1,,64,
161,Cole Beasley\BeasCo00,DAL,WR,29,2,1,0,0,0,0,0,0,0,,0,11,9,86,9.56,0,,,9,18,17.6,13.1,,70,
162,Kelvin Benjamin\BenjKe00,BUF,WR,27,2,2,0,0,0,0,0,0,0,,0,10,3,29,9.67,1,,,9,12,11.9,10.4,,67,
163,Malcolm Brown\BrowMa03,LAR,RB,25,2,0,0,0,0,0,0,13,51,3.92,0,3,2,18,9.00,0,1,,9,11,10.9,9.9,,47,
164,Rex Burkhead\BurkRe00,NWE,RB,28,2,2,0,0,0,0,0,24,86,3.58,0,3,1,5,5.00,0,,,9,10,10.1,9.6,,45,
165,Ryan Grant\GranRy01,IND,WR,28,2,1,0,0,0,0,0,0,0,,0,11,10,89,8.90,0,,,9,19,18.9,13.9,,68,
166,Derrick Henry\HenrDe00,TEN,RB,24,2,2,1,1,8,0,0,28,82,2.93,0,1,1,5,5.00,0,,,9,10,10.0,9.5,,46,
167,Zay Jones\JoneZa00,BUF,WR,23,2,2,0,0,0,0,0,0,0,,0,9,5,89,17.80,0,,,9,14,13.9,11.4,,69,
168,LeSean McCoy\McCoLe01,BUF,RB,30,2,2,0,0,0,0,0,16,61,3.81,0,7,5,28,5.60,0,,,9,14,13.9,11.4,,48,
169,Anthony Miller\MillAn02,CHI,WR,24,2,0,0,0,0,0,0,0,0,,0,6,4,25,6.25,1,,,9,13,12.5,10.5,,71,
170,Paul Richardson\RichPa01,WAS,WR,26,2,2,0,0,0,0,0,0,0,,0,12,8,85,10.63,0,,,9,17,16.5,12.5,,72,
